Sr. No.,Name of the University,State,CGPA,Grade
94,"Career Point University, Hamipur. 
 Village Tikker (Kharwarian) Post Office Kharwar
 Tehsil Bhoranj , District Hamirpur.,Hamirpur,Himachal pradesh,176041 (First Cycle)",Himachal Pradesh,2.02,B
95,"Central University of Himachal Pradesh, Dharamshala, Kangra  176215 (First Cycle)",Himachal Pradesh,2.78,B++
96,"Chitkara University, Solan  174103 (First Cycle)",Himachal Pradesh,2.71,B
97,Eternal University (First Cycle),Himachal Pradesh,2.14,B
98,"Himachal Pradesh University, Shimla  171005 (Third Cycle)",Himachal Pradesh,3.21,A
99,"Jaypee University of Information Technology, Waknaghat, Kandaghat, Solan  173215 (Second Cycle)",Himachal Pradesh,2.66,B+
100,"MAHARAJA AGRASEN UNIVERSITY,Atal Shiksha Kunj
 Kalujhanda
 Near Barotiwala
 Tehsil Baddi
 Distt. Solan,Kalujhanda Barotiwala Baddi Distt Solan,Himachal pradesh,174103 (First Cycle)",Himachal Pradesh,2.13,B
101,"Manav Bharti University, Laddo, Sultanpur, Solan  173229 (First Cycle)",Himachal Pradesh,2.14,B
102,"Shoolini University of Biotechnology and Management Sciences, Solan  173229 (First Cycle)",Himachal Pradesh,2.92,B++
103,"Baba Ghulam Shah Badshah University, Dhanore, Rajouri,Rajouri,Jammu And Kashmir,185234 (First Cycle)",Jammu and Kashmir,2.5,B
104,"Central University of Jammu, Samba, Jammu  181143 (First Cycle",Jammu and Kashmir,2.88,B++
105,"Central University of Kashmir, Srinagar  190015 (First Cycle)",Jammu and Kashmir,2.8,B++
106,"Islamic University of Science and Technology,Awantipora  192122 (First Cycle)",Jammu and Kashmir,2.52,B
107,"University of Jammu, Jammu  180006
(Third Cycle)",Jammu and Kashmir,3.51,A+
108,"UNIVERSITY OF KASHMIR,Hazratbal, Srinagar, Jammu and Kashmir,Srinagar , 190006 (Third Cycle)",Jammu and Kashmir,3.31,A+
109,"CENTRAL UNIVERSITY OF JHARKHAND,CTI Campus, Ratu-Lohardaga Road, Brambe, Ranchi,Ranchi,Jharkhand,835205 (First Cycle)",Jharkhand,2.34,B
110,"Jharkhand Rai University,Kamre, Ratu Road,Ranchi - 835222 (First Cycle)",Jharkhand,1.95,C
111,"Kolhan University, Chaibasa  833202 (First Cycle)",Jharkhand,1.6,C
112,"Ranchi University, Ranchi  834001 (First Cycle)",Jharkhand,2.8,B++
113,"Vinoba Bhave University, Hazaribag  825301 (First Cycle)",Jharkhand,2.77,B
114,"Sido Kanhu Murmu University,Dighi, University Campus,Dumka - 814110 (First Cycle)",Jharkhand,1.61,C
115,"Bangalore University, Bangalore  560056 (Third Cycle)",Karnataka,3.16,A
116,"BLDE (DEEMED TO BE UNIVERSITY),Smt. Bangaramma Sajjan Campus, B M Patil Road (Sholapur Road), Vijayapura-586103 Karnataka, India,Vijayapura,Karnataka,586103 (Second Cycle)",Karnataka,3.09,A
117,"Central University of Karnataka, Gulbarga  585311 (First Cycle)",Karnataka,2.8,B++
118,"Christ University (Deemed-to-be-University u/s 3 of the UGC Act 1956), Bengaluru  560029 (First Cycle, assessed as per old methodology)",Karnataka,3.25,A
119,"Gulbarga University, Gulbarga  585106 (Third Cycle)",Karnataka,2.91,B
120,"Indian Institute of Science, C V Raman Road, Bengaluru  560012 (First Cycle)",Karnataka,3.67,A++
121,"INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,International Institute of information Technology Bangalore
26/C Electronics City Phase 1 Hosur Road Bangalore,Bangalore,Karnataka,560100 (Second Cycle)",Karnataka,3.37,A+
122,"JAIN(Deemed-to- be University),JAIN GLOBAL CAMPUS, JAKKASANDRA POST, KANAKAPURA TALUK, RAMANAGARA DISTRICT - 562 112,BANGALORE,Karnataka,560004 (Second Cycle)",Karnataka,3.71,A++
123,"Jawaharlal Nehru Centre for Advanced
Scientific Research (JNCASR) (Deemed-to-be-University u/s 3 of the UGC Act 1956), Bengaluru  560064 (First Cycle)",Karnataka,3.76,A++
124,"JSS Academy of Higher Education and Research (Deemed-to-be-University u/s 3 of the UGC Act 1956),Sri Shivarathreeshwara Nagar,Mysuru - 570015 (Second Cycle)",Karnataka,3.48,A+
125,"KANNADA UNIVERSITY, Vidyaranya
Hospete Taluk, Bellari District
KARNATAKA
Pin code 583276 (Third Cycle)",Karnataka,2.5,B
126,"Karnatak University, Pavate Nagar, Dharwad, 580003 Karnataka ( Third Cycle)",Karnataka,3.15,A
127,"Karnataka State Law University, Hubballi  580025 (First Cycle)",Karnataka,3.18,A
128,"Karnataka State Women's University, Bijapur  586108 (First Cycle)",Karnataka,2.62,B
129,"KLE Academy of Higher Education And Research
 JN Medical College Campus
 Nehru Nagar,Belagavi,Karnataka,590010 (Third Cycle)",Karnataka,3.39,A+
130,"KLE TECHNOLOGICAL UNIVERSITY-HUBBALLI,KLE Technological University, B V Bhoomaraddi College Campus, Vidyanagar, Hubballi-580031,Hubballi,Karnataka,580031 (First Cycle)",Karnataka,3.1,A
131,"Kuvempu University, Shankaraghatta,
Shimoga  577451 (Re-visit,Third Cycle)",Karnataka,3.05,A
132,"MANGALORE UNIVERSITY, Administrative Building Mangalagangothri,Mangalore,Karnataka,574199 (Third Cycle)",Karnataka,2.49,B
133,"National Law School of India University ,Nagarbhavi ,Bengaluru - 560072 (First Cycle)",Karnataka,3.10,A
